Number	Votes	Question
Q1	48	Confusing output from String.split
Q2	22	Why am I able to have a public member in a non-public class?
Q3	17	SRC folder in Eclipse is empty (MainActivity class not created) after creating a new android project using Eclipse
Q4	16	Why can private method be final?
Q5	14	Interview Puzzle - Multiple Inheritance in Java?
Q6	13	How to get the class associated to an array type?
Q7	13	Is it always safe to call getClass() within the subclass constructor?
Q8	11	find all classes and interfaces a class extends or implements recursively
Q9	10	Why does casting based on Class.class work but not getClass?
Q10	8	Accessing Static Final Fields in Inner Classes in Java
