Number	Votes	Question
Q1	14	What are the &#39;shadow$_klass_&#39; and &#39;shadow$_monitor_&#39; variables for in java.lang.Object?
Q2	8	Parsing Data for android-L failed
Q3	7	Font asset not found helvetica.ttf on lollipop
Q4	7	Android Project Fragment Transition throwing Exception when Build target used New API Level 21
Q5	6	Aviary crashes on Android L (5.0)
Q6	6	Can&#39;t use some of L SDK features
Q7	5	Android Lollipop Material Design Overflow Menu Icon color
Q8	5	Android Support Library v17
Q9	4	System error capturing the output of a MediaProjection virtual display to an ImageReader
Q10	3	NullPointerException in IabHelper.queryPurchases
