Number	Votes	Question
Q1	4	Valo is *huge*. Scale down to Reindeer size? (Vaadin 7 look-and-feel themes)
Q2	4	BeanFieldGroup with ComboBox?
Q3	3	How to create a complex header in vaadin 7?
Q4	3	How to bind validators to TextFields in vaadin?
Q5	3	Which scope to use with vaadin and spring?
Q6	3	Strategy for cross field validation in Vaadin
Q7	3	How to set authorization on View level in Vaadin
Q8	2	Vaadin &amp; Apache Shiro - Session Expired
Q9	2	How to add all values from UnmodifiableSet to ArrayList?
Q10	2	Why use CustomComponent for Layouts in Vaadin 7?
