Number	Votes	Question
Q1	3	Providing security to jsp page which is to be uploaded on a web host
Q2	3	c3p0 maxIdleTime is same as wait_timeout of mysql?
Q3	2	java.sql.Connection createArrayOf() always returns null
Q4	2	My jrxml file creates an empty PDF file
Q5	2	JDBC  Connect to sql server
Q6	2	embed MS Access database with runnable jar
Q7	2	uploading project database to jazzhub
Q8	2	how to connect to multiple data base in online?
Q9	2	Difference between loading the driver and registering drivers
Q10	2	Android SQLite helper - where should I close the connection?
