Number	Votes	Question
Q1	7	How to implement i18n(Subdirectories with gTLDs) in Spring Framework?
Q2	7	Custom sorting list of strings (following Chamorro language collation rules)
Q3	6	Converting Greek to Uppercase in Java
Q4	4	not fetching correct value of PLAY_LANG
Q5	4	Reliance on default encoding  what should I use and why?
Q6	3	MessageResources weird behaviour
Q7	3	JSP cannot find default bundle for i18n
Q8	3	How to make a report page direction to change to &quot;rtl&quot;?
Q9	3	Spring MVC equivalent of getText() from Struts for I18N
Q10	2	Java: Internationalization / ResourceManager in interface files
