Number	Votes	Question
Q1	6	How to build and use ffmpeg within android
Q2	5	java code for reading image instead of getting frame
Q3	4	Ant build with .so files
Q4	4	Android NDK: load_library: cannot locate srand
Q5	4	UnsatisfiedLinkError: Couldn&#39;t load X from loader
Q6	4	Creating custom function in sqlite3 in android
Q7	3	Android L 5.0 &amp; libusb 1.0.9 - no permissions?
Q8	3	Copy and execute native service binary &amp; check logs
Q9	3	android NDK function returning wrong values for 64bits variables (double  long int)
Q10	3	How are the static variables in C++ code manged with JNI?
