Number	Votes	Question
Q1	21	JavaFX 8 Memory leak when Hiding Stage
Q2	16	ObservableList: how to reliably detect a setAll?
Q3	13	JavaFX effect on background
Q4	13	What&#39;s the location of the JavaFX runtime JAR file  jfxrt.jar  on Linux?
Q5	12	Can&#39;t print text file using Java 8 in Windows 7
Q6	11	Disable hidden files using FileChooser from JavaFX
Q7	11	Using JavaFX in JRE 8
Q8	11	JavaFX 8 swing compatibility
Q9	10	Throttling javafx gui updates
Q10	9	Where should I validate JavaFX Property changes?
