Number	Votes	Question
Q1	6	Google Analytics API v4 for Android Does NOT Send Screen Views
Q2	6	Android referral tracking not working with Google play
Q3	6	How to calculate active user in Mobile App Analytics?
Q4	4	New Google Analytics SDK 4
Q5	3	Google Play / Google Analytics INSTALL_REFERRER for BroadcastReceiver in 2014
Q6	2	Conversion to Dalvik format failed: Unable to execute dex: Multiple dex files define
