Number	Votes	Question
Q1	4	Android TextView actionbar works inconsistently
Q2	3	Android TextView Long Shadow
Q3	3	TextView Position : how can it be a float value ? - Android
Q4	3	How do I insert a line break in a String to show on an Android TextView widget?
Q5	3	Error when selecting text from Textview (java.lang.IndexOutOfBoundsException: setSpan (-1 ... -1) starts before 0)
Q6	3	Android drag drop multiple textviews
Q7	2	Where disappeared the method TextView.getTextColor(Context context  TypedArray typedArray  int defStyle) in new Android 5.0?
Q8	2	Print Unicode Character Android TextView
Q9	2	How to use two different font sizes for button text in Android?
Q10	2	why is my text in editText not centered horizontally?
