Number	Votes	Question
Q1	25	Super keyword in Java  interesting behavior  please explain
Q2	5	Difference for &lt;? super/extends String&gt; in method and variable declaration
Q3	5	Why does eclipse automatically add a java super() method in a constructor when I use the editors code generator?
Q4	4	call to super() must be the first statement in constructor body
Q5	4	How does super() work in a constructor
Q6	3	calling super method from unrelated method
Q7	2	Super constructor in a subclass - Java
Q8	2	Constructor use this and super Java
Q9	2	Variable is null at super call
Q10	2	constructors and abstract classes in java
