Number	Votes	Question
Q1	3	Apache Jena - got 3 identical results for one query
Q2	3	Sparql query running forever
Q3	3	how to query an ontology file with jena on eclipse
Q4	2	Jena: Property Paths when building queries programatically
Q5	2	Pull string from RDF node
Q6	2	custom jena filter function on remote endpoint?
Q7	2	How I can write SPARQL query that uses similarity measures in Java Code
Q8	2	Strange error in apache tomcat?
Q9	2	Removing datatypes from literals in SPARQL results
Q10	2	illogical issue in a sparql query with Virtuoso
