Number	Votes	Question
Q1	35	Android buildscript repositories. jcenter VS mavencentral
Q2	21	Eclipse ADT appcompat... what is it?
Q3	13	ClassCastException: ApiVersionImpl cannot be cast to java.lang.Integer
Q4	5	Activate Maven profile if another profile is not activated
Q5	4	Buildozer doesn&#39;t work with java under cygwin
Q6	3	How to set the library build order in gradle?
Q7	3	Android APK Build Error. Showing an Interesting Error
Q8	3	Setting build path in project.properties
Q9	2	Android NDK (with SDL) build infrastructure clarification
Q10	2	Have maven build different artifacts in different environment
