Number	Votes	Question
Q1	91	Android Studio was unable to find a valid Jvm (Related to MAC OS)
Q2	70	Android Studio needs JDK 7 for Android-L mac
Q3	35	Android buildscript repositories. jcenter VS mavencentral
Q4	33	Android Studio - supplied javaHome is not a valid folder
Q5	30	Android Studio - No JVM Installation found
Q6	18	Intellij (Android studio) member variable prefix
Q7	18	Importing Facebook library in Android Studio: Could not find property &#39;ANDROID_BUILD_SDK_VERSION&#39;
Q8	15	Using JDK 7 Or Higher With Android Studio And Eclipse On Mac OSX
Q9	13	How to automatically generate getters and setters in Android Studio
Q10	10	Meaning of Android Studio error: Not annotated parameter overrides @NotNull parameter
