Number	Votes	Question
Q1	14	How can a 1 year old (java) lib correctly perform an UTC Time formatting  considering a newly introduced leap second
Q2	6	Android GPS incorrect location data on query
Q3	6	How to determine if a GPS coordinate lies within a rectangular area?
Q4	5	Android GPS does not work until restart on new phones
Q5	4	MBTilesRasterDataSource not found from nutiteq SDK?
Q6	3	Working with GPS Location
Q7	3	Java Marine API - looking for NMEA data
Q8	2	Android Get Location
Q9	2	onLocationChanged isn&#39;t called even though the GPS provider is availble
Q10	2	Calculating the fastest routes and some points on the same time
