Number	Votes	Question
Q1	8	Java BufferedWriter Creating Null Characters
Q2	4	Why is java.util.Scanner.next() returning empty strings?
Q3	4	BufferedReader giving non-zero exit code
Q4	4	In Java  should I use a different Scanner instance for different types of input?
Q5	4	Why does Scanner#nextInt inside for loop keep throwing an exception?
Q6	4	Scanner Exception Retry
Q7	4	Why is Scanner slower than BufferedReader when reading from input?
Q8	3	NoSuchElement using scanner
Q9	3	Method not returning to user (inheritance)
Q10	3	Arraylist.contains wont check string
