Number	Votes	Question
Q1	12	SQuirreL Plugin Tutorial
Q2	8	Null Pointer Importing Gradle Project Into Eclipse
Q3	6	Eclipse plugin to show a thorough call hierarchy between Java projects
Q4	4	Eclipse plugins aweful slow  but which one? A way of measuring plugin performance?
Q5	4	log4j2 configuration will not load custom pattern converter
Q6	3	A gradle plugin that adds dependencies and a sample project in the same project
Q7	3	Using Gradle plugin configuration properties at the evaluation phase
Q8	3	Does Sakai have the ability for plugins?
Q9	3	NoSuchMethod Error Java but method exists
Q10	3	Maven - JSF 2.0 doesn&#39;t work on embedded tomcat
