Number	Votes	Question
Q1	4	Sqlite4java on Raspberry Pi
Q2	3	write subprocess inside main process
Q3	3	Compile android app in raspberry pi
Q4	3	Requires 7-10 attempts to establish socket connection between Android and Raspberry Pi
Q5	3	Raspberry Pi  java  SPI and Touchscreens
Q6	2	HTTPS on Raspberry Pie is too slow. What can I do about it? Which cipher should I choose?
Q7	2	Finding different amount of network nodes between linux VM and raspberry pi
Q8	2	Error opening connection SQLite on Raspberry pi
Q9	2	Netty 4 Receive Multicast packets on Linux
Q10	2	disable other sounds in java
