Number	Votes	Question
Q1	5	debugger cannot access the parent page variable in the included page
Q2	4	Read property of annotation
Q3	4	How can I determine which Struts action I&#39;m rendering in my JSP?
Q4	3	Manipulating Hashtable key is not working
Q5	3	Get name of annotation class in the jsp page
Q6	3	Unable to receive form data in controller in spring mvc
Q7	2	How to Print List from ServletListener JSTL
Q8	2	Re-assign value tag after first form submission?
Q9	2	Writing Custom Functions in JSTL
Q10	2	How to redirect to error page when exception occurs from servlet?
