Number	Votes	Question
Q1	11	Node.js Selenium IPv6 Issue (SocketException Protocol family unavailable)
Q2	8	Error running Selenium IDE &quot;Error: Permission denied to access property &#39;nr@context&#39;
Q3	7	Executing Webdriver script from HTML
Q4	6	Xlib: extension &quot;RANDR&quot; missing on display &quot;:99&quot;
Q5	5	how to run selenium html suite parallely on same pc in 3 different browsers?
Q6	5	Selenium Java - inspect element and page source shows different infiormation
Q7	5	Why won&#39;t PhantomJSDriver use the capabilities I set?
Q8	4	Selenium Webdriver get cookies full domain in internet explorer
Q9	4	Retrieve the content of meta description from web-page using selenium webdriver
Q10	4	How to traverse through different frames inside an iFrame?
