Number	Votes	Question
Q1	4	Linking static library with JNI
Q2	3	Create iOS static library from robovm project (BAD_ACCESS in JNI)
Q3	2	Statically linked libraries and JNI?
Q4	2	Using C++ library in java
Q5	2	Is there a static funcion in Apache common math to evaluate the Gaussian function
