Number	Votes	Question
Q1	6	Breaking out of a nested for loop without using break
Q2	4	Creating a Map using Java8 streams on a nested Data Structure
Q3	2	Restaurant Menu: how to efficiently implement a nested loop to collect user input and conduct error checking
Q4	2	Using java to find Happy Numbers: Nested while loop loops indefinitely
Q5	2	Backwards Nested For loops in Java?
Q6	2	Nested for loop to print output of 2D array in Java
Q7	2	Morse Code Translator - Can&#39;t seem to convert from morse-to-english accurately
Q8	2	Creating a numeric pattern in a loop
