Number	Votes	Question
Q1	6	Using Telegram API for Java Desktop App?
Q2	3	How Can I get my app id in Telegram API?
Q3	2	Peculiar Eclipse java.lang.UnsupportedClassVersionError  Unsupported major.minor version 52.0
