Number	Votes	Question
Q1	10	Java&#39;s System.exit(0); vs C++ return 0;
Q2	7	Understanding try catch finally with return
Q3	6	reducing number of return statements in a method
Q4	4	Return from void function
Q5	4	How to return two multidimetional arrays from same java method?
Q6	4	Methods need to return string from user.Need troubleshoot only
Q7	4	can &quot;main&quot; in java return a String?
Q8	3	Using a List(arraylist) in other methods(java)
Q9	3	Convention: when writing methods  should I return values  or change data directly?
Q10	3	java - return array from method
