Number	Votes	Question
Q1	4	Websphere MQ v8 - MQRC_NOT_AUTHORIZED - 2035
Q2	4	Authentication in Play 2.3.x
Q3	3	Single sign-on not working in Spring web app
Q4	3	Spring security opening a popup login
Q5	3	Variable Spring Security authentication-provider List
Q6	3	SSL Handshake_failure in Java test client while connecting to server with two-way authentication
Q7	3	authentication single sign-on spring
Q8	3	How to programmatically check if a certain url needs authentication?
Q9	3	Shiro LDAP Authorization config
Q10	3	Restore user login after tomcat 7 restart
