Number	Votes	Question
Q1	65	Differences between Oracle JDK and Open JDK and garbage collection
Q2	13	What&#39;s the location of the JavaFX runtime JAR file  jfxrt.jar  on Linux?
Q3	9	String.equalsIgnoreCase - UpperCase v. LowerCase
Q4	7	openjdk 1.8 package for centos 6.5
Q5	5	Stanford CoreNLP python interface installation errors
Q6	5	Open JDK crashing eclipse
Q7	4	openjdk-6-jre  openjdk-6-jre-headless  openjdk-6-jre-lib
Q8	3	What precisely is the algorithm used by java.lang.Object&#39;s hashCode
Q9	3	openjdk-1.7.0_55 on ubuntu: Could not load the property file &#39;output_xml.properties&#39; for output method &#39;xml&#39;
Q10	3	Why does rJava not work on Ubuntu 14.04 using OpenJDK 7?
