Number	Votes	Question
Q1	9	java.lang.UnsupportedOperationException: Unsupported Service: accessibility android studio
Q2	6	Are Activity/Fragment Transitions compatible with pre-Lollipop devices?
Q3	5	Android Lollipop Material Design Overflow Menu Icon color
