Number	Votes	Question
Q1	47	Fastest way to sum integers in text file
Q2	9	Get access to USB mass storage device in android
Q3	8	Java reading a file different methods
Q4	6	Protect and unprotect file to avoid accidental elimination in Android by bugged cleaning apps
Q5	6	Encrypted save and decrypted load of an ArrayList of serializable objects
Q6	4	Java replace line in a text file
Q7	4	null pointer exception when reading textfile
Q8	4	android write to disk unreliable - written file.length !=expected.length
Q9	3	How can I just use the relative file name instead of the absolute file name?
Q10	3	Understanding when to use a Buffer for handlings files in java and when NOT to
